Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

runtime_mountain_raster_walk_probe: start density=0.60
runtime_mountain_raster_walk_probe: route_size=7
STREAMING_STEP_TIMING total=11.62ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.485,"evict":0.142,"player_chunk":0.014,"prune":0.225,"publish":10.623,"queue_pages":0.105,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.54ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.486,"evict":0.141,"player_chunk":0.016,"prune":0.224,"publish":6.524,"queue_pages":0.121,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=11.52ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.475,"evict":0.149,"player_chunk":0.013,"prune":0.216,"publish":10.538,"queue_pages":0.107,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.68ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.492,"evict":0.168,"player_chunk":0.017,"prune":0.23,"publish":6.625,"queue_pages":0.123,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=11.42ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.494,"evict":0.151,"player_chunk":0.015,"prune":0.211,"publish":10.431,"queue_pages":0.097,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=7.57ms {"drain_packets":0.009,"drain_pages":0.006,"enqueue":0.493,"evict":0.184,"player_chunk":0.012,"prune":0.214,"publish":6.505,"queue_pages":0.132,"spawn":0.001,"wrap":0.006}
STREAMING_STEP_TIMING total=12.27ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.478,"evict":0.173,"player_chunk":0.014,"prune":0.213,"publish":11.263,"queue_pages":0.109,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.57ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.481,"evict":0.16,"player_chunk":0.019,"prune":0.212,"publish":6.547,"queue_pages":0.121,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=12.21ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.485,"evict":0.16,"player_chunk":0.014,"prune":0.217,"publish":11.202,"queue_pages":0.11,"spawn":0.001,"wrap":0.008}
STREAMING_STEP_TIMING total=10.00ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.494,"evict":0.268,"player_chunk":0.015,"prune":0.213,"publish":8.859,"queue_pages":0.127,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=14.13ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.528,"evict":0.18,"player_chunk":0.016,"prune":0.212,"publish":13.056,"queue_pages":0.111,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=8.44ms {"drain_packets":0.011,"drain_pages":0.006,"enqueue":0.588,"evict":0.227,"player_chunk":0.025,"prune":0.259,"publish":7.149,"queue_pages":0.151,"spawn":0.005,"wrap":0.016}
STREAMING_STEP_TIMING total=13.20ms {"drain_packets":0.009,"drain_pages":0.005,"enqueue":0.586,"evict":0.183,"player_chunk":0.017,"prune":0.244,"publish":12.017,"queue_pages":0.121,"spawn":0.003,"wrap":0.011}
STREAMING_STEP_TIMING total=7.76ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.484,"evict":0.181,"player_chunk":0.017,"prune":0.198,"publish":6.743,"queue_pages":0.118,"spawn":0.003,"wrap":0.006}
STREAMING_STEP_TIMING total=15.84ms {"drain_packets":0.013,"drain_pages":0.006,"enqueue":0.739,"evict":0.245,"player_chunk":0.024,"prune":0.317,"publish":14.309,"queue_pages":0.161,"spawn":0.003,"wrap":0.016}
STREAMING_STEP_TIMING total=8.07ms {"drain_packets":0.014,"drain_pages":0.006,"enqueue":0.612,"evict":0.237,"player_chunk":0.024,"prune":0.327,"publish":6.694,"queue_pages":0.137,"spawn":0.003,"wrap":0.014}
STREAMING_STEP_TIMING total=13.40ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.583,"evict":0.198,"player_chunk":0.016,"prune":0.235,"publish":12.215,"queue_pages":0.12,"spawn":0.003,"wrap":0.01}
STREAMING_STEP_TIMING total=10.19ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.477,"evict":0.217,"player_chunk":0.024,"prune":0.191,"publish":9.139,"queue_pages":0.12,"spawn":0.002,"wrap":0.01}
